               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.023407,            0.009792,            0.034964,             0.51486,               0.875,             0.74648,             0.64957,           0.0080342,           0.0032085,            0.022378,               0.091,               0.001,               0.001
                   1,            0.022842,            0.008733,            0.031907,             0.56066,             0.91421,             0.77439,             0.60263,             0.01438,           0.0033437,            0.022011,            0.080684,           0.0016842,           0.0016842
                   2,            0.026032,           0.0096673,            0.032678,             0.50762,               0.875,             0.76731,             0.63615,            0.011232,           0.0032753,            0.021561,            0.069933,           0.0019328,           0.0019328
                   3,             0.02525,            0.008336,            0.029969,             0.52704,             0.97061,             0.77362,             0.68761,           0.0088104,           0.0032018,            0.021326,            0.058746,           0.0017458,           0.0017458
                   4,            0.026319,            0.009089,            0.032137,             0.58577,             0.91667,             0.77969,             0.70295,           0.0085716,           0.0032099,            0.021321,            0.047123,           0.0011232,           0.0011232
